PUB_FORM_PROPERTY
pk_form_property,label
1001AA1LCP00000ITG9W,失效日期
1001AA1LCP00000ITG9X,是否生效
1001AA1LCP00000ITG9Y,修改者
1001AA1LCP00000ITG9Z,修改时间
1001AA1LCP00000ITGA0,创建者
1001AA1LCP00000ITGA1,创建时间
1001AA1LCP00000ITGA2,自定义项1
1001AA1LCP00000ITGA3,自定义项2
1001AA1LCP00000ITGA4,自定义项3
1001AA1LCP00000ITGA5,pk_baseprice
1001AA1LCP00000ITGA6,自定义项4
1001AA1LCP00000ITGA7,自定义项5
1001AA1LCP00000ITGA8,自定义项6
1001AA1LCP00000ITGA9,自定义项7
1001AA1LCP00000ITGAA,自定义项8
1001AA1LCP00000ITGAB,自定义项9
1001AA1LCP00000ITGAC,自定义项10
1001AA1LCP00000ITGAD,自定义项11
1001AA1LCP00000ITGAE,自定义项12
1001AA1LCP00000ITGAF,自定义项13
1001AA1LCP00000ITGAG,自定义项14
1001AA1LCP00000ITGAH,自定义项15
1001AA1LCP00000ITGAI,自定义项16
1001AA1LCP00000ITGAJ,自定义项17
1001AA1LCP00000ITGAK,自定义项18
1001AA1LCP00000ITGAL,自定义项19
1001AA1LCP00000ITGAM,自定义项20
1001AA1LCP00000ITGAN,基价
1001AA1LCP00000ITGAO,生效日期
1001AA1LCP00000ITGAP,失效日期
1001AA1LCP00000ITGAQ,是否生效
1001AA1LCP00000ITGAR,修改者
1001AA1LCP00000ITGAS,修改时间
1001AA1LCP00000ITGAT,创建者
1001AA1LCP00000ITGAU,创建时间
1001AA1LCP00000ITGAV,自定义项1
1001AA1LCP00000ITGAW,自定义项2
1001AA1LCP00000ITGAX,自定义项3
1001AA1LCP00000ITGAY,pk_baseprice
1001AA1LCP00000ITGAZ,自定义项4
1001AA1LCP00000ITGB0,自定义项5
1001AA1LCP00000ITGB1,自定义项6
1001AA1LCP00000ITGB2,自定义项7
1001AA1LCP00000ITGB3,自定义项8
1001AA1LCP00000ITGB4,自定义项9
1001AA1LCP00000ITGB5,自定义项10
1001AA1LCP00000ITGB6,自定义项11
1001AA1LCP00000ITGB7,自定义项12
1001AA1LCP00000ITGB8,自定义项13
1001AA1LCP00000ITGB9,自定义项14
1001AA1LCP00000ITGBA,自定义项15
1001AA1LCP00000ITGBB,自定义项16
1001AA1LCP00000ITGBC,自定义项17
1001AA1LCP00000ITGBD,自定义项18
1001AA1LCP00000ITGBE,自定义项19
1001AA1LCP00000ITGBF,自定义项20
1001AA1LCP00000ITGBG,基价
1001AA1LCP00000ITGBH,生效日期
1001AA1LCP00000ITGBI,失效日期
1001AA1LCP00000ITGBJ,是否生效
1001AA1LCP00000ITGBK,修改者
1001AA1LCP00000ITGBL,修改时间
1001AA1LCP00000ITGBM,创建者
1001AA1LCP00000ITGBN,创建时间
1001AA1LCP00000ITGBO,自定义项1
1001AA1LCP00000ITGBP,自定义项2
1001AA1LCP00000ITGBQ,自定义项3
1001AA1LCP00000ITGBR,加价
1001AA1LCP00000ITGBS,指标
1001AA1LCP00000ITGBT,类型
1001AA1LCP00000ITGBU,区间1始
1001AA1LCP00000ITGBV,区间1止
1001AA1LCP00000ITGBW,区间1价格
1001AA1LCP00000ITGBX,区间2始
1001AA1LCP00000ITGBY,区间2止
1001AA1LCP00000ITGBZ,区间2价格
1001AA1LCP00000ITGC0,区间3始
1001AA1LCP00000ITGC1,区间3止
1001AA1LCP00000ITGC2,区间3价格
1001AA1LCP00000ITGC3,是否生效
1001AA1LCP00000ITGC4,修改者
1001AA1LCP00000ITGC5,修改时间
1001AA1LCP00000ITGC6,创建者
1001AA1LCP00000ITGC7,创建时间
1001AA1LCP00000ITGC8,自定义项1
1001AA1LCP00000ITGC9,自定义项2
1001AA1LCP00000ITGCA,自定义项3
1001AA1LCP00000ITGCB,自定义项4
1001AA1LCP00000ITGCC,自定义项5
1001AA1LCP00000ITGCD,自定义项6
1001AA1LCP00000ITGCE,自定义项7
1001AA1LCP00000ITGCF,自定义项8
1001AA1LCP00000ITGCG,自定义项9
1001AA1LCP00000ITGCH,自定义项10
1001AA1LCP00000ITGCI,自定义项11
1001AA1LCP00000ITGCJ,自定义项12
1001AA1LCP00000ITGCK,自定义项13
1001AA1LCP00000ITGCL,自定义项14
1001AA1LCP00000ITGCM,自定义项15
1001AA1LCP00000ITGCN,自定义项16
1001AA1LCP00000ITGCO,自定义项17
1001AA1LCP00000ITGCP,自定义项18
1001AA1LCP00000ITGCQ,自定义项19
1001AA1LCP00000ITGCR,自定义项20
1001AA1LCP00000ITGCS,加价
1001AA1LCP00000ITGCT,指标
1001AA1LCP00000ITGCU,类型
1001AA1LCP00000ITGCV,区间1始
1001AA1LCP00000ITGCW,区间1止
1001AA1LCP00000ITGCX,区间1价格
1001AA1LCP00000ITGCY,区间2始
1001AA1LCP00000ITGCZ,区间2止
1001AA1LCP00000ITGD0,区间2价格
1001AA1LCP00000ITGD1,区间3始
1001AA1LCP00000ITGD2,区间3止
1001AA1LCP00000ITGD3,区间3价格
