PUB_BILLACTION
pk_billaction,actionnote
1001AA1LCP00000029BN,保存
1001AA1LCP00000029BO,提交
1001AA1LCP00000029BP,收回
1001AA1LCP00000029BQ,审批
1001AA1LCP00000029BR,取消审批
